tcm,tcm_index,target_gene_id
连花清瘟颗粒/胶囊,tcm-0007,64241
连花清瘟颗粒/胶囊,tcm-0007,100043508
连花清瘟颗粒/胶囊,tcm-0007,2805
连花清瘟颗粒/胶囊,tcm-0007,760
连花清瘟颗粒/胶囊,tcm-0007,4860
连花清瘟颗粒/胶囊,tcm-0007,774
连花清瘟颗粒/胶囊,tcm-0007,776
连花清瘟颗粒/胶囊,tcm-0007,8972
连花清瘟颗粒/胶囊,tcm-0007,102636309
连花清瘟颗粒/胶囊,tcm-0007,796
连花清瘟颗粒/胶囊,tcm-0007,8989
连花清瘟颗粒/胶囊,tcm-0007,4901
连花清瘟颗粒/胶囊,tcm-0007,808
连花清瘟颗粒/胶囊,tcm-0007,4915
连花清瘟颗粒/胶囊,tcm-0007,2875
连花清瘟颗粒/胶囊,tcm-0007,283455
连花清瘟颗粒/胶囊,tcm-0007,834
连花清瘟颗粒/胶囊,tcm-0007,836
连花清瘟颗粒/胶囊,tcm-0007,841
连花清瘟颗粒/胶囊,tcm-0007,842
连花清瘟颗粒/胶囊,tcm-0007,100416331
连花清瘟颗粒/胶囊,tcm-0007,11082
连花清瘟颗粒/胶囊,tcm-0007,2891
连花清瘟颗粒/胶囊,tcm-0007,847
连花清瘟颗粒/胶囊,tcm-0007,54101
连花清瘟颗粒/胶囊,tcm-0007,4953
连花清瘟颗粒/胶囊,tcm-0007,862
连花清瘟颗粒/胶囊,tcm-0007,84830
连花清瘟颗粒/胶囊,tcm-0007,11104
连花清瘟颗粒/胶囊,tcm-0007,2919
连花清瘟颗粒/胶囊,tcm-0007,2920
连花清瘟颗粒/胶囊,tcm-0007,2931
连花清瘟颗粒/胶囊,tcm-0007,2932
连花清瘟颗粒/胶囊,tcm-0007,890
连花清瘟颗粒/胶囊,tcm-0007,891
连花清瘟颗粒/胶囊,tcm-0007,894
连花清瘟颗粒/胶囊,tcm-0007,7040
连花清瘟颗粒/胶囊,tcm-0007,7042
连花清瘟颗粒/胶囊,tcm-0007,7043
连花清瘟颗粒/胶囊,tcm-0007,2946
连花清瘟颗粒/胶囊,tcm-0007,2950
连花清瘟颗粒/胶囊,tcm-0007,11153
连花清瘟颗粒/胶囊,tcm-0007,5018
连花清瘟颗粒/胶囊,tcm-0007,7068
连花清瘟颗粒/胶囊,tcm-0007,9120
连花清瘟颗粒/胶囊,tcm-0007,5032
连花清瘟颗粒/胶囊,tcm-0007,102638504
连花清瘟颗粒/胶囊,tcm-0007,942
连花清瘟颗粒/胶囊,tcm-0007,948
连花清瘟颗粒/胶囊,tcm-0007,102800311
连花清瘟颗粒/胶囊,tcm-0007,958
连花清瘟颗粒/胶囊,tcm-0007,959
连花清瘟颗粒/胶囊,tcm-0007,5054
连花清瘟颗粒/胶囊,tcm-0007,54206
连花清瘟颗粒/胶囊,tcm-0007,56256
连花清瘟颗粒/胶囊,tcm-0007,5066
连花清瘟颗粒/胶囊,tcm-0007,973
连花清瘟颗粒/胶囊,tcm-0007,9166
连花清瘟颗粒/胶囊,tcm-0007,7124
连花清瘟颗粒/胶囊,tcm-0007,9173
连花清瘟颗粒/胶囊,tcm-0007,160728
连花清瘟颗粒/胶囊,tcm-0007,100113371
连花清瘟颗粒/胶囊,tcm-0007,115677
